project_id,district,total_land_parcels,acquired_land_parcels,pending_land_parcels,total_landowners,compensation_pending,legal_cases,documents_pending,approval_pending_days,objections_count,survey_completed_percent,current_stage,previous_delay_days,land_pending_percent,delay_status
LA100025,Ahmedabad,1184,981,203,1328,480,6,11,58,14,89.6,Acquisition,22,17.15,Yes
LA100026,Kheda,984,757,227,1081,303,6,3,21,23,93.0,Handover,25,23.07,No
LA100027,Valsad,633,489,144,596,37,4,5,1,8,83.6,Acquisition,30,22.75,No
LA100028,Junagadh,1243,924,319,1044,306,3,8,16,19,88.5,Acquisition,102,25.66,Yes
LA100029,Junagadh,841,475,366,911,475,3,16,33,9,71.8,Objection,32,43.52,Yes
LA100030,Navsari,693,504,189,397,174,8,6,16,14,87.0,Acquisition,109,27.27,Yes
LA100031,Gandhinagar,703,432,271,391,21,4,9,10,16,75.7,Compensation,29,38.55,No
LA100032,Anand,379,117,262,499,102,6,11,24,10,58.4,Notification,36,69.13,Yes
LA100033,Amreli,183,87,96,108,36,1,7,0,7,78.1,Compensation,4,52.46,No
LA100034,Morbi,854,722,132,873,229,3,6,19,21,84.8,Handover,19,15.46,No
LA100035,Vadodara,1338,788,550,1476,841,4,12,137,23,69.6,Compensation,6,41.11,Yes
LA100036,Valsad,142,82,60,103,15,1,10,38,9,75.4,Compensation,14,42.25,Yes
LA100037,Panchmahal,1295,1071,224,1756,345,6,3,31,19,83.6,Acquisition,34,17.3,No
LA100038,Amreli,1250,968,282,901,321,4,11,61,21,62.3,Acquisition,31,22.56,Yes
LA100039,Anand,451,123,328,607,242,3,4,17,10,56.4,Notification,0,72.73,Yes
LA100040,Ahmedabad,966,664,302,1195,1077,5,5,152,24,80.9,Acquisition,5,31.26,Yes
LA100041,Morbi,289,194,95,222,14,2,6,0,6,73.0,Compensation,16,32.87,No
LA100042,Sabarkantha,1149,677,472,788,151,3,6,22,13,86.5,Acquisition,75,41.08,No
LA100043,Bhavnagar,1066,575,491,890,434,8,8,5,11,81.0,Compensation,47,46.06,Yes
LA100044,Gandhinagar,564,435,129,512,216,9,8,35,8,79.5,Acquisition,26,22.87,Yes
LA100045,Kheda,148,73,75,114,21,4,6,0,3,63.4,Objection,25,50.68,No
LA100046,Jamnagar,1458,594,864,2113,468,4,7,19,33,61.3,Objection,34,59.26,Yes
LA100047,Surat,696,416,280,527,191,4,8,22,9,87.3,Acquisition,15,40.23,Yes
LA100048,Junagadh,1345,1081,264,1745,299,7,5,21,22,88.2,Compensation,32,19.63,No
LA100049,Gandhinagar,1033,639,394,716,291,4,8,133,8,87.1,Acquisition,19,38.14,Yes
LA100050,Junagadh,1179,781,398,1689,589,7,7,65,21,87.6,Handover,12,33.76,Yes
LA100051,Valsad,1152,760,392,867,408,5,8,42,9,86.8,Acquisition,27,34.03,Yes
LA100052,Sabarkantha,332,184,148,309,112,2,11,39,6,71.4,Compensation,18,44.58,No
LA100053,Anand,578,371,207,608,208,4,12,38,7,86.5,Handover,3,35.81,No
LA100054,Navsari,727,397,330,479,315,5,2,5,10,76.3,Objection,28,45.39,Yes
LA100055,Rajkot,772,564,208,992,135,4,3,72,14,75.9,Compensation,57,26.94,No
LA100056,Panchmahal,113,66,47,90,18,6,9,9,5,69.6,Objection,0,41.59,No
LA100057,Banaskantha,843,576,267,880,539,3,11,17,16,80.0,Acquisition,18,31.67,No
LA100058,Bhavnagar,273,208,65,285,88,6,6,14,9,83.3,Acquisition,103,23.81,No
LA100059,Ahmedabad,1128,729,399,1232,78,5,10,47,18,86.5,Acquisition,6,35.37,No
LA100060,Kheda,1041,771,270,625,148,9,10,21,10,82.1,Handover,0,25.94,No
LA100061,Mehsana,1388,1096,292,974,376,13,9,47,9,86.0,Compensation,2,21.04,Yes
LA100062,Jamnagar,1130,680,450,785,342,8,12,6,17,82.1,Acquisition,41,39.82,Yes
LA100063,Patan,581,511,70,477,163,5,5,48,12,92.7,Handover,50,12.05,No
LA100064,Bhavnagar,1453,1085,368,989,476,3,9,19,18,83.8,Handover,20,25.33,Yes
LA100065,Patan,646,525,121,891,81,3,8,0,13,89.6,Acquisition,65,18.73,No
LA100066,Patan,522,345,177,528,191,5,5,0,14,62.9,Compensation,5,33.91,Yes
LA100067,Amreli,1363,653,710,1515,274,3,14,26,25,60.4,Objection,20,52.09,Yes
LA100068,Rajkot,587,405,182,512,171,1,10,24,6,89.2,Handover,0,31.01,No
LA100069,Junagadh,160,128,32,128,9,4,3,6,8,89.5,Handover,11,20.0,No
LA100070,Bhavnagar,731,418,313,733,175,7,8,21,10,69.9,Compensation,0,42.82,Yes
LA100071,Jamnagar,1204,736,468,981,268,4,11,29,14,83.7,Acquisition,29,38.87,No
LA100072,Kheda,324,52,272,278,14,4,6,38,6,51.0,Notification,26,83.95,Yes
LA100073,Patan,721,344,377,690,68,3,7,42,16,61.9,Compensation,52,52.29,Yes
LA100074,Vadodara,238,144,94,239,96,5,3,29,8,64.4,Objection,52,39.5,Yes
LA100075,Mehsana,1046,821,225,1502,567,5,5,17,22,80.8,Acquisition,72,21.51,No
LA100076,Navsari,740,566,174,556,205,4,12,19,13,85.0,Acquisition,32,23.51,No
LA100077,Amreli,529,408,121,523,222,3,7,6,14,73.9,Acquisition,12,22.87,No
LA100078,Vadodara,379,304,75,259,106,3,9,6,8,89.5,Acquisition,39,19.79,No
LA100079,Morbi,869,547,322,752,209,1,12,71,14,77.1,Compensation,4,37.05,Yes
LA100080,Amreli,1021,687,334,1221,605,2,6,36,17,77.4,Handover,15,32.71,No
LA100081,Patan,1414,974,440,1000,213,5,13,35,16,87.4,Acquisition,68,31.12,Yes
LA100082,Bhavnagar,684,341,343,734,105,5,8,12,6,74.9,Compensation,0,50.15,Yes
LA100083,Banaskantha,283,184,99,262,58,5,7,33,9,86.1,Compensation,25,34.98,Yes
LA100084,Junagadh,1258,758,500,750,197,4,10,4,15,77.2,Acquisition,0,39.75,No
LA100085,Bhavnagar,963,518,445,1338,370,7,14,35,23,59.0,Compensation,0,46.21,Yes
LA100086,Valsad,1066,613,453,983,334,9,5,79,12,83.5,Objection,18,42.5,Yes
LA100087,Navsari,191,74,117,240,115,2,6,0,10,61.8,Objection,42,61.26,Yes
LA100088,Junagadh,503,424,79,465,111,4,7,30,9,87.5,Acquisition,0,15.71,Yes
LA100089,Gandhinagar,1164,832,332,1622,738,6,12,18,28,86.3,Acquisition,17,28.52,Yes
LA100090,Patan,1257,688,569,1020,235,4,10,38,17,69.6,Acquisition,0,45.27,Yes
LA100091,Bhavnagar,681,508,173,627,35,5,6,49,10,89.3,Handover,24,25.4,No
LA100092,Sabarkantha,1217,841,376,1501,495,4,6,9,15,63.2,Acquisition,8,30.9,Yes
LA100093,Surat,1271,707,564,1092,322,6,11,51,10,63.4,Compensation,22,44.37,Yes
LA100094,Amreli,612,399,213,537,226,2,8,3,9,75.0,Objection,40,34.8,No
LA100095,Valsad,1353,662,691,1956,1005,6,9,31,24,60.6,Acquisition,68,51.07,Yes
LA100096,Amreli,468,227,241,491,205,3,9,48,11,58.3,Compensation,0,51.5,No
LA100097,Mehsana,397,338,59,465,61,2,6,8,7,78.7,Handover,5,14.86,No
LA100098,Anand,1040,663,377,1174,348,5,14,12,15,79.4,Compensation,29,36.25,Yes
LA100099,Rajkot,973,756,217,1260,631,10,10,5,21,87.2,Acquisition,38,22.3,Yes
LA100100,Kheda,252,188,64,334,112,3,9,31,8,85.8,Handover,12,25.4,No
LA100101,Mehsana,1258,1053,205,1330,470,3,5,24,20,86.0,Acquisition,0,16.3,Yes
LA100102,Mehsana,340,317,23,277,163,2,3,3,6,87.4,Acquisition,79,6.76,No
LA100103,Banaskantha,1217,589,628,694,294,5,12,60,11,67.3,Compensation,2,51.6,Yes
LA100104,Gandhinagar,60,45,15,66,26,2,8,0,1,81.6,Handover,0,25.0,No
LA100105,Morbi,1206,910,296,1559,520,4,12,61,29,85.1,Acquisition,22,24.54,No
LA100106,Valsad,1191,549,642,1138,355,4,14,20,12,72.6,Objection,10,53.9,No
LA100107,Bharuch,1182,926,256,825,270,4,10,9,14,80.5,Acquisition,26,21.66,No
LA100108,Ahmedabad,1014,694,320,821,323,4,13,18,14,66.0,Compensation,14,31.56,Yes
LA100109,Junagadh,734,603,131,741,163,5,7,62,13,85.3,Handover,26,17.85,Yes
LA100110,Patan,1073,804,269,1398,321,7,13,30,22,92.0,Acquisition,0,25.07,Yes
LA100111,Jamnagar,452,229,223,318,49,3,8,38,10,76.4,Compensation,15,49.34,No
LA100112,Morbi,1182,983,199,1301,447,3,10,7,25,87.9,Handover,1,16.84,No
LA100113,Gandhinagar,856,323,533,1051,142,6,10,12,14,62.1,Objection,18,62.27,No
LA100114,Anand,715,396,319,996,180,13,6,42,12,77.3,Acquisition,10,44.62,No
LA100115,Gandhinagar,783,402,381,513,168,2,11,58,8,62.7,Compensation,17,48.66,No
LA100116,Gandhinagar,875,573,302,1211,599,5,5,23,13,70.9,Compensation,64,34.51,Yes
LA100117,Vadodara,104,69,35,113,12,3,12,0,6,81.7,Acquisition,12,33.65,No
LA100118,Mehsana,252,150,102,312,66,2,4,6,6,74.0,Compensation,0,40.48,No
LA100119,Gandhinagar,406,239,167,243,8,2,7,0,2,72.5,Compensation,19,41.13,No
LA100120,Gandhinagar,216,161,55,217,32,3,7,48,6,94.3,Handover,88,25.46,No
LA100121,Gandhinagar,687,389,298,763,95,7,5,4,16,73.0,Acquisition,16,43.38,No
LA100122,Vadodara,1019,485,534,842,351,3,9,7,19,76.0,Compensation,0,52.4,Yes
LA100123,Amreli,999,649,350,938,128,3,8,77,16,70.4,Compensation,22,35.04,Yes
LA100124,Morbi,733,701,32,769,116,4,4,0,20,79.6,Acquisition,82,4.37,No
LA100125,Banaskantha,1290,803,487,1351,348,6,14,1,17,74.1,Acquisition,4,37.75,Yes
LA100126,Valsad,870,604,266,511,34,2,9,0,14,70.3,Acquisition,22,30.57,No
LA100127,Morbi,164,116,48,155,64,4,10,13,8,84.6,Compensation,69,29.27,No
LA100128,Bharuch,1160,708,452,861,372,3,11,6,16,85.8,Compensation,20,38.97,Yes
LA100129,Patan,883,702,181,1214,367,6,5,3,12,69.8,Acquisition,4,20.5,Yes
LA100130,Vadodara,970,501,469,1386,802,8,12,85,25,72.7,Compensation,118,48.35,Yes
LA100131,Morbi,870,573,297,713,15,3,5,0,5,69.3,Compensation,57,34.14,No
LA100132,Amreli,853,496,357,604,254,8,14,0,8,68.9,Compensation,5,41.85,No
LA100133,Morbi,181,159,22,135,38,3,8,31,6,87.3,Handover,0,12.15,Yes
LA100134,Valsad,861,423,438,844,310,9,8,5,18,63.2,Compensation,8,50.87,Yes
LA100135,Amreli,1203,373,830,1608,226,8,12,41,21,56.7,Notification,28,68.99,Yes
LA100136,Bharuch,491,336,155,491,49,2,7,10,10,86.4,Acquisition,22,31.57,No
LA100137,Rajkot,924,519,405,554,317,4,2,0,9,47.5,Compensation,33,43.83,No
LA100138,Anand,94,61,33,55,27,1,7,0,6,74.0,Compensation,66,35.11,Yes
LA100139,Morbi,554,543,11,418,158,3,5,54,8,91.4,Handover,11,1.99,Yes
LA100140,Rajkot,683,408,275,894,207,4,5,19,14,75.7,Compensation,92,40.26,No
LA100141,Vadodara,1475,984,491,1636,1110,8,16,17,30,72.2,Acquisition,60,33.29,Yes
LA100142,Jamnagar,361,232,129,381,195,6,14,14,10,88.2,Acquisition,10,35.73,Yes
LA100143,Patan,451,169,282,378,71,4,6,49,12,51.7,Objection,15,62.53,Yes
LA100144,Bhavnagar,642,491,151,890,335,5,2,6,12,67.3,Acquisition,39,23.52,No
LA100145,Navsari,1490,900,590,1264,598,7,10,66,20,80.1,Compensation,8,39.6,Yes
LA100146,Vadodara,1288,814,474,1676,392,9,12,11,29,81.8,Compensation,49,36.8,Yes
LA100147,Sabarkantha,100,63,37,136,64,5,9,38,5,68.1,Compensation,38,37.0,Yes
LA100148,Panchmahal,389,278,111,383,109,2,10,8,6,82.0,Handover,0,28.53,No
LA100149,Junagadh,1242,1217,25,1683,718,9,3,28,17,92.3,Handover,20,2.01,Yes
LA100150,Bharuch,134,80,54,107,36,2,8,80,5,74.6,Compensation,23,40.3,Yes
LA100151,Amreli,1291,1048,243,1475,246,4,9,25,16,91.3,Handover,27,18.82,No
LA100152,Kheda,458,354,104,288,78,2,9,28,6,85.5,Acquisition,52,22.71,No
LA100153,Vadodara,1381,653,728,1349,326,6,6,55,18,70.8,Compensation,12,52.72,Yes
LA100154,Bhavnagar,476,303,173,355,217,1,11,55,6,87.8,Compensation,15,36.34,No
LA100155,Junagadh,680,357,323,412,39,2,4,39,11,78.4,Compensation,36,47.5,Yes
LA100156,Valsad,1010,252,758,559,72,8,12,18,11,70.8,Objection,3,75.05,No
LA100157,Junagadh,233,151,82,196,60,5,9,0,7,77.6,Compensation,28,35.19,Yes
LA100158,Bharuch,858,282,576,927,84,4,19,37,10,59.6,Compensation,2,67.13,Yes
LA100159,Bhavnagar,782,354,428,750,356,8,12,0,18,64.0,Compensation,3,54.73,Yes
LA100160,Bhavnagar,1187,550,637,975,232,5,10,0,18,50.7,Compensation,0,53.66,Yes
LA100161,Junagadh,1495,812,683,2156,588,7,12,6,29,76.0,Compensation,16,45.69,Yes
LA100162,Patan,1013,730,283,1414,207,4,10,2,37,77.3,Acquisition,0,27.94,No
LA100163,Navsari,643,212,431,426,147,8,8,0,11,62.3,Objection,14,67.03,Yes
LA100164,Jamnagar,639,297,342,590,253,3,8,15,12,66.4,Compensation,21,53.52,Yes
LA100165,Panchmahal,656,578,78,744,227,3,6,28,13,82.3,Handover,25,11.89,No
LA100166,Vadodara,1231,950,281,1490,296,5,5,18,15,92.2,Acquisition,10,22.83,Yes
LA100167,Vadodara,516,373,143,454,18,4,4,113,6,72.0,Acquisition,111,27.71,Yes
LA100168,Gandhinagar,292,286,6,357,111,3,6,82,7,86.4,Handover,14,2.05,No
LA100169,Junagadh,535,244,291,354,134,4,16,0,16,63.2,Objection,0,54.39,Yes
LA100170,Mehsana,82,43,39,70,11,3,13,3,3,71.6,Objection,14,47.56,No
LA100171,Vadodara,204,117,87,244,21,4,6,18,9,90.0,Acquisition,0,42.65,No
LA100172,Jamnagar,180,127,53,200,27,2,9,8,9,79.3,Handover,16,29.44,No
LA100173,Rajkot,1169,664,505,1524,451,10,9,0,22,66.2,Compensation,25,43.2,Yes
LA100174,Mehsana,1098,543,555,650,227,3,12,67,13,55.9,Objection,95,50.55,Yes
LA100175,Vadodara,1061,680,381,750,349,6,10,3,10,63.6,Compensation,1,35.91,No
LA100176,Mehsana,720,110,610,427,171,2,8,8,13,41.0,Notification,33,84.72,Yes
LA100177,Junagadh,1090,929,161,788,496,3,12,119,13,78.5,Compensation,0,14.77,Yes
LA100178,Vadodara,284,142,142,157,61,1,9,17,3,66.1,Objection,10,50.0,No
LA100179,Morbi,1356,1027,329,1361,404,4,8,18,21,83.6,Acquisition,20,24.26,Yes
LA100180,Rajkot,777,643,134,797,101,3,12,1,14,94.0,Acquisition,55,17.25,No
LA100181,Junagadh,1411,907,504,1612,234,8,14,57,18,83.5,Compensation,50,35.72,Yes
LA100182,Gandhinagar,271,152,119,243,138,6,8,64,6,80.1,Objection,34,43.91,Yes
LA100183,Rajkot,771,577,194,426,190,3,7,51,12,84.2,Acquisition,20,25.16,Yes
LA100184,Vadodara,1060,683,377,1226,363,7,7,69,22,85.4,Compensation,27,35.57,Yes
LA100185,Navsari,769,558,211,461,137,6,11,65,8,86.1,Acquisition,82,27.44,Yes
LA100186,Banaskantha,697,427,270,927,276,3,6,21,19,77.5,Acquisition,15,38.74,Yes
LA100187,Bharuch,291,140,151,166,70,1,10,30,5,65.1,Compensation,0,51.89,No
LA100188,Navsari,602,295,307,619,235,5,7,14,12,78.9,Compensation,15,51.0,No
LA100189,Amreli,396,134,262,537,127,2,6,28,12,77.7,Acquisition,22,66.16,No
LA100190,Ahmedabad,487,355,132,519,162,2,9,34,8,76.7,Handover,13,27.1,Yes
LA100191,Morbi,1042,777,265,1144,452,5,11,21,20,75.6,Handover,9,25.43,Yes
LA100192,Panchmahal,964,379,585,1122,253,7,13,10,16,77.1,Objection,20,60.68,Yes
LA100193,Gandhinagar,931,715,216,615,199,6,8,7,7,84.1,Acquisition,21,23.2,No
LA100194,Ahmedabad,574,459,115,664,159,3,8,44,9,88.9,Acquisition,56,20.03,No
LA100195,Junagadh,1442,930,512,1936,336,6,7,36,21,88.8,Acquisition,11,35.51,Yes
LA100196,Navsari,177,155,22,253,107,2,11,7,5,89.7,Acquisition,0,12.43,No
LA100197,Panchmahal,547,472,75,519,186,4,9,14,4,86.2,Handover,17,13.71,No
LA100198,Jamnagar,221,158,63,190,33,3,5,10,7,73.3,Acquisition,0,28.51,No
LA100199,Gandhinagar,541,444,97,664,199,3,5,42,18,76.8,Acquisition,0,17.93,No
LA100200,Junagadh,1445,1083,362,1501,199,8,5,67,27,77.1,Compensation,58,25.05,Yes
LA100201,Junagadh,581,406,175,454,114,5,9,18,13,89.2,Handover,0,30.12,No
LA100202,Jamnagar,1368,994,374,964,784,4,8,1,16,84.0,Handover,9,27.34,Yes
LA100203,Panchmahal,768,649,119,540,213,3,6,0,9,91.5,Handover,11,15.49,No
LA100204,Morbi,1065,950,115,1026,398,7,8,29,12,85.4,Acquisition,22,10.8,No
LA100205,Ahmedabad,713,519,194,501,271,3,7,44,13,86.5,Acquisition,38,27.21,Yes
LA100206,Junagadh,435,139,296,247,53,1,10,6,10,52.7,Objection,34,68.05,No
LA100207,Banaskantha,1158,715,443,691,184,4,12,21,11,89.3,Acquisition,0,38.26,No
LA100208,Bharuch,1456,1108,348,2019,827,9,13,22,35,79.3,Acquisition,21,23.9,Yes
LA100209,Jamnagar,432,342,90,266,60,6,11,2,6,88.1,Handover,40,20.83,No
LA100210,Patan,1179,546,633,726,43,5,18,28,17,68.0,Compensation,8,53.69,Yes
LA100211,Kheda,428,211,217,409,53,1,4,58,8,55.8,Objection,18,50.7,Yes
LA100212,Mehsana,1090,651,439,840,325,5,9,22,10,75.4,Compensation,36,40.28,No
LA100213,Anand,1194,505,689,1691,480,6,10,87,22,68.5,Compensation,0,57.71,Yes
LA100214,Mehsana,702,621,81,962,173,4,10,17,14,86.4,Acquisition,44,11.54,No
LA100215,Surat,1119,499,620,1023,449,5,6,69,18,77.3,Compensation,47,55.41,Yes
LA100216,Junagadh,445,274,171,424,176,3,7,24,9,72.7,Compensation,0,38.43,No
LA100217,Valsad,164,74,90,146,44,1,12,46,8,60.2,Compensation,30,54.88,No
LA100218,Gandhinagar,189,98,91,110,36,3,7,16,8,79.9,Compensation,0,48.15,No
LA100219,Morbi,698,420,278,568,154,3,9,35,15,69.7,Acquisition,14,39.83,No
LA100220,Bhavnagar,1359,774,585,897,445,4,13,4,14,76.1,Acquisition,26,43.05,Yes
LA100221,Ahmedabad,235,183,52,151,28,3,4,47,2,73.6,Acquisition,18,22.13,No
LA100222,Valsad,711,429,282,750,345,7,9,6,11,63.7,Compensation,55,39.66,Yes
LA100223,Mehsana,1071,758,313,684,416,3,9,23,15,80.4,Acquisition,40,29.23,No
LA100224,Navsari,343,195,148,220,89,3,8,53,1,92.5,Acquisition,45,43.15,Yes
LA100225,Bhavnagar,1097,775,322,1078,591,5,7,19,18,87.4,Acquisition,0,29.35,No
LA100226,Panchmahal,493,372,121,467,70,4,10,61,11,92.4,Handover,22,24.54,No
LA100227,Surat,1223,1082,141,824,370,2,11,47,11,87.5,Handover,0,11.53,No
LA100228,Jamnagar,890,741,149,493,105,8,5,7,11,92.2,Handover,5,16.74,No
LA100229,Bhavnagar,843,521,322,610,165,8,12,33,10,71.3,Acquisition,22,38.2,Yes
LA100230,Banaskantha,306,229,77,233,20,7,11,8,6,76.9,Handover,20,25.16,No
LA100231,Bharuch,722,645,77,917,88,2,7,48,14,84.5,Acquisition,6,10.66,No
LA100232,Morbi,1292,1048,244,1775,510,1,9,21,28,78.5,Handover,37,18.89,No
LA100233,Valsad,78,60,18,71,33,3,6,0,4,83.3,Acquisition,10,23.08,No
LA100234,Morbi,1150,767,383,1052,129,9,17,36,23,81.2,Acquisition,34,33.3,No
LA100235,Panchmahal,764,525,239,910,124,6,9,12,14,76.6,Acquisition,16,31.28,No
LA100236,Bharuch,1093,613,480,1218,224,3,15,17,19,69.3,Acquisition,36,43.92,Yes
LA100237,Gandhinagar,1012,764,248,724,41,3,13,34,15,79.5,Acquisition,38,24.51,No
LA100238,Navsari,676,447,229,437,75,3,5,0,3,83.4,Acquisition,13,33.88,No
LA100239,Morbi,497,428,69,469,95,4,8,20,9,88.1,Handover,47,13.88,No
LA100240,Vadodara,960,647,313,1016,160,4,8,11,16,78.9,Acquisition,39,32.6,No
LA100241,Anand,253,186,67,171,35,4,8,27,4,81.5,Acquisition,0,26.48,No
LA100242,Surat,897,584,313,730,71,3,10,131,10,88.2,Handover,0,34.89,Yes
LA100243,Bharuch,187,67,120,154,68,3,9,14,6,52.9,Objection,7,64.17,Yes
LA100244,Patan,992,811,181,779,50,3,8,20,13,88.4,Handover,57,18.25,No
LA100245,Panchmahal,962,714,248,928,482,6,9,0,15,87.2,Acquisition,15,25.78,No
LA100246,Amreli,172,54,118,196,18,1,6,27,8,68.1,Compensation,41,68.6,No
LA100247,Bharuch,1149,642,507,1159,469,9,16,20,21,80.1,Compensation,11,44.13,Yes
LA100248,Amreli,653,458,195,478,170,3,11,44,13,78.7,Acquisition,51,29.86,No
LA100249,Banaskantha,1191,1122,69,765,224,4,11,0,9,90.1,Handover,19,5.79,No
LA100250,Junagadh,110,82,28,142,64,4,4,0,10,88.4,Acquisition,0,25.45,No
LA100251,Junagadh,310,205,105,304,95,3,6,25,8,82.7,Acquisition,61,33.87,No
LA100252,Ahmedabad,766,512,254,464,136,0,5,28,9,69.2,Acquisition,36,33.16,No
LA100253,Sabarkantha,323,232,91,253,73,3,5,28,6,83.2,Acquisition,93,28.17,No
LA100254,Anand,528,294,234,672,141,4,14,33,12,61.9,Compensation,136,44.32,Yes
LA100255,Surat,1008,710,298,1236,674,7,7,18,13,84.8,Acquisition,21,29.56,Yes
LA100256,Jamnagar,259,140,119,347,94,2,5,24,7,71.0,Compensation,0,45.95,No
LA100257,Kheda,1033,774,259,1128,481,1,9,14,16,78.7,Acquisition,7,25.07,No
LA100258,Sabarkantha,200,144,56,186,73,4,3,25,12,77.6,Acquisition,16,28.0,No
LA100259,Gandhinagar,304,224,80,284,59,0,7,0,4,88.1,Acquisition,11,26.32,No
LA100260,Jamnagar,902,375,527,654,172,5,7,38,10,66.0,Compensation,1,58.43,Yes
LA100261,Morbi,1201,493,708,1364,865,5,12,0,15,70.5,Objection,39,58.95,Yes
LA100262,Jamnagar,297,152,145,320,97,6,6,7,6,78.6,Compensation,24,48.82,No
LA100263,Sabarkantha,485,368,117,334,52,5,8,17,7,92.8,Acquisition,42,24.12,No
LA100264,Gandhinagar,1392,983,409,1875,797,8,10,57,25,79.4,Acquisition,12,29.38,Yes
LA100265,Valsad,1486,788,698,1310,735,4,15,0,18,81.4,Acquisition,33,46.97,Yes
LA100266,Surat,893,455,438,531,206,6,10,0,9,78.9,Acquisition,8,49.05,Yes
LA100267,Bhavnagar,698,521,177,590,192,3,8,22,9,82.5,Handover,0,25.36,No
LA100268,Jamnagar,553,381,172,737,269,5,4,18,17,66.3,Compensation,0,31.1,No
LA100269,Anand,938,486,452,1290,622,3,10,2,22,55.1,Objection,37,48.19,Yes
LA100270,Kheda,907,353,554,899,268,11,16,7,13,70.1,Compensation,94,61.08,Yes
LA100271,Surat,477,319,158,673,11,6,12,12,18,75.3,Compensation,28,33.12,No
LA100272,Panchmahal,83,62,21,111,54,1,5,28,6,77.6,Acquisition,0,25.3,No
LA100273,Bharuch,269,136,133,348,117,5,6,50,10,68.3,Compensation,0,49.44,No
LA100274,Ahmedabad,1440,994,446,1906,491,8,10,11,27,83.0,Acquisition,11,30.97,No
LA100275,Rajkot,656,508,148,586,212,0,8,34,13,85.5,Handover,26,22.56,No
LA100276,Vadodara,749,541,208,922,210,3,9,36,15,79.3,Acquisition,5,27.77,Yes
LA100277,Navsari,727,423,304,778,155,3,12,13,7,67.5,Compensation,45,41.82,Yes
LA100278,Valsad,1185,924,261,1419,560,2,3,2,20,82.4,Acquisition,37,22.03,No
LA100279,Jamnagar,144,119,25,102,31,5,7,17,1,91.4,Handover,3,17.36,No
LA100280,Surat,170,104,66,205,49,6,3,6,5,79.5,Acquisition,29,38.82,No
LA100281,Junagadh,450,256,194,635,152,4,8,7,16,73.8,Compensation,77,43.11,No
LA100282,Gandhinagar,756,547,209,622,80,4,12,47,11,91.0,Acquisition,20,27.65,No
LA100283,Gandhinagar,1023,768,255,1471,484,4,16,54,31,90.6,Acquisition,11,24.93,No
LA100284,Navsari,762,494,268,679,239,3,7,60,9,71.8,Compensation,0,35.17,Yes
LA100285,Gandhinagar,690,429,261,504,131,5,6,0,18,81.6,Acquisition,0,37.83,Yes
LA100286,Vadodara,1410,791,619,918,91,6,12,17,16,59.2,Compensation,7,43.9,Yes
LA100287,Banaskantha,283,194,89,356,160,3,9,38,11,89.5,Compensation,51,31.45,Yes
LA100288,Rajkot,879,696,183,922,114,3,12,13,17,88.2,Handover,2,20.82,No
